Icon,Name,Description,SP,Exclusive
,AR-D Atk/Def 1,"If defending in Aether Raids, grants Atk/Def+X during combat. (Calculates X based on number of your defensive structures: ≥5 structures grants +4; 4 grants +3; 3 grants +2; ≤2 grants +1. Destroyed defensive structures are not counted.)",60,No
,AR-D Atk/Def 2,"If defending in Aether Raids, grants Atk/Def+X during combat. (Calculates X based on number of your defensive structures: ≥5 structures grants +7; 4 grants +5; 3 grants +3; ≤2 grants +1. Destroyed defensive structures are not counted.)",120,No
,AR-D Atk/Def 3,"If defending in Aether Raids, grants Atk/Def+X during combat. (Calculates X based on number of your defensive structures: ≥5 structures grants +10; 4 grants +7; 3 grants +4; ≤2 grants +1. Destroyed defensive structures are not counted.)",240,No
,AR-D Atk/Res 1,"If defending in Aether Raids, grants Atk/Res+X during combat. (Calculates X based on number of your defensive structures: ≥5 structures grants +4; 4 grants +3; 3 grants +2; ≤2 grants +1. Destroyed defensive structures are not counted.)",60,No
,AR-D Atk/Res 2,"If defending in Aether Raids, grants Atk/Res+X during combat. (Calculates X based on number of your defensive structures: ≥5 structures grants +7; 4 grants +5; 3 grants +3; ≤2 grants +1. Destroyed defensive structures are not counted.)",120,No
,AR-D Atk/Res 3,"If defending in Aether Raids, grants Atk/Res+X during combat. (Calculates X based on number of your defensive structures: ≥5 structures grants +10; 4 grants +7; 3 grants +4; ≤2 grants +1. Destroyed defensive structures are not counted.)",240,No
,AR-D Atk/Spd 1,"If defending in Aether Raids, grants Atk/Spd+X during combat. (Calculates X based on number of your defensive structures: ≥5 structures grants +4; 4 grants +3; 3 grants +2; ≤2 grants +1. Destroyed defensive structures are not counted.)",60,No
,AR-D Atk/Spd 2,"If defending in Aether Raids, grants Atk/Spd+X during combat. (Calculates X based on number of your defensive structures: ≥5 structures grants +7; 4 grants +5; 3 grants +3; ≤2 grants +1. Destroyed defensive structures are not counted.)",120,No
,AR-D Atk/Spd 3,"If defending in Aether Raids, grants Atk/Spd+X during combat. (Calculates X based on number of your defensive structures: ≥5 structures grants +10; 4 grants +7; 3 grants +4; ≤2 grants +1. Destroyed defensive structures are not counted.)",240,No
,AR-D Atk/Spd 4,"If defending in Aether Raids, grants Atk/Spd+X during combat. (Calculates X based on number of your defensive structures: ≥5 structures grants +11; 4 grants +7; ≤3 grants +3. Destroyed defensive structures are not counted.)",300,No
