Icon,Name,Description,SP,Exclusive
,Armored Boots,"At start of turn, if unit's HP = 100%, unit can move 1 extra space. (That turn only. Does not stack.)",100,No
,Initiate Seal Atk 1,Grants Atk+1.,30,No
,Initiate Seal Atk 2,Grants Atk+2.,60,No
,Initiate Seal Atk 3,Grants Atk+3.,120,No
,Beast,Removes the condition to transform.,240,No
,Initiate Seal Def 1,Grants Def+1.,30,No
,Initiate Seal Def 2,Grants Def+2.,60,No
,Initiate Seal Def 3,Grants Def+3.,120,No
,Deflect Magic 1,"If unit receives consecutive attacks and foe uses magic, reduces damage from foe's second attack onward by 30%.",50,No
,Deflect Magic 2,"If unit receives consecutive attacks and foe uses magic, reduces damage from foe's second attack onward by 50%.",100,No
,Deflect Magic 3,"If unit receives consecutive attacks and foe uses magic, reduces damage from foe's second attack onward by 80%.",200,No
,Deflect Melee 1,"If unit receives consecutive attacks and foe uses a sword, lance, or axe, reduces damage from foe's second attack onward by 30%.",50,No
,Deflect Melee 2,"If unit receives consecutive attacks and foe uses a sword, lance, or axe, reduces damage from foe's second attack onward by 50%.",100,No
,Deflect Melee 3,"If unit receives consecutive attacks and foe uses a sword, lance, or axe, reduces damage from foe's second attack onward by 80%.",200,No
,Deflect Missile 1,"If unit receives consecutive attacks and foe uses bow or dagger, reduces damage from foe's second attack onward by 30%.",50,No
,Deflect Missile 2,"If unit receives consecutive attacks and foe uses bow or dagger, reduces damage from foe's second attack onward by 50%.",100,No
,Deflect Missile 3,"If unit receives consecutive attacks and foe uses bow or dagger, reduces damage from foe's second attack onward by 80%.",200,No
,Dist. Counter (D),Unit can counterattack regardless of foe's range.,300,No
,Dist. Counter (M),Unit can counterattack regardless of foe's range.,300,No
,Hardy Bearing 1,"Disables unit's skills that change attack priority.At start of combat, if unit's HP = 100%, disables foe's skills that change attack priority.",50,No
,Hardy Bearing 2,"Disables unit's skills that change attack priority. At start of combat, if unit's HP ≥ 50%, disables foe's skills that change attack priority.",100,No
,Hardy Bearing 3,Disables unit's and foe's skills that change attack priority.,200,No
,Initiate Seal HP 1,Grants HP+3.,40,No
,Initiate Seal HP 2,Grants HP+4.,80,No
,Initiate Seal HP 3,Grants HP+5.,160,No
,Phantom Res 1,"If a skill compares unit's Res to a foe's or ally's Res, treats unit's Res as if granted +5.",50,No
,Phantom Res 2,"If a skill compares unit's Res to a foe's or ally's Res, treats unit's Res as if granted +8.",100,No
,Phantom Res 3,"If a skill compares unit's Res to a foe's or ally's Res, treats unit's Res as if granted +10.",200,No
,Phantom Spd 1,"If a skill compares unit's Spd to a foe's or ally's Spd, treats unit's Spd as if granted +5.",50,No
,Phantom Spd 2,"If a skill compares unit's Spd to a foe's or ally's Spd, treats unit's Spd as if granted +8.",100,No
,Phantom Spd 3,"If a skill compares unit's Spd to a foe's or ally's Spd, treats unit's Spd as if granted +10.",200,No
,Quickened Pulse,"At the start of turn 1, grants Special cooldown count-1.",100,No
,Initiate Seal Res 1,Grants Res+1.,30,No
,Initiate Seal Res 2,Grants Res+2.,60,No
,Initiate Seal Res 3,Grants Res+3.,120,No
,Initiate Seal Spd 1,Grants Spd+1.,30,No
,Initiate Seal Spd 2,Grants Spd+2.,60,No
,Initiate Seal Spd 3,Grants Spd+3.,120,No
,Squad Ace A 1,Grants HP+3.,40,No
,Squad Ace F 1,Grants HP+3.,40,No
,Squad Ace K 1,Grants HP+3.,40,No
,Squad Ace P 1,Grants HP+3.,40,No
,Squad Ace U 1,Grants HP+3.,40,No
,Squad Ace Z 1,Grants HP+3.,40,No
,Squad Ace A 2,Grants HP+4.,80,No
,Squad Ace F 2,Grants HP+4.,80,No
,Squad Ace K 2,Grants HP+4.,80,No
,Squad Ace P 2,Grants HP+4.,80,No
,Squad Ace U 2,Grants HP+4.,80,No
