Icon,Name,Description,SP,Exclusive
,A/D Bulwark 4,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit (does not affect foes with Pass skills). Inflicts Atk/Def-4 on foe and reduces damage from foe's first attack by 40% during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes). Restores 7 HP to unit after combat.",300,No
,A/D Cantrip 3,"If Sing or Dance is used, inflicts Atk/Def-7 and【Sabotage】on foes in cardinal directions of unit and target through their next actions.【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.",300,No
,A/D Far Trace 1,"Enables【Canto (Rem.)】.Inflicts Atk/Def-1 on foe during combat.【Canto (Rem.)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn. (If unit used a movement skill that warped them, its remaining movement is 0.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",60,No
,A/D Far Trace 2,"Enables【Canto (Rem.)】.Inflicts Atk/Def-2 on foe during combat.【Canto (Rem.)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn. (If unit used a movement skill that warped them, its remaining movement is 0.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",120,No
,A/D Far Trace 3,"Enables【Canto (Rem.)】.Inflicts Atk/Def-3 on foe during combat.【Canto (Rem.)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn. (If unit used a movement skill that warped them, its remaining movement is 0.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",240,No
,A/D Near Trace 1,"Enables【Canto (Rem. +1)】.Inflicts Atk/Def-1 on foe during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",60,No
,A/D Near Trace 2,"Enables【Canto (Rem. +1)】.Inflicts Atk/Def-2 on foe during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",120,No
,A/D Near Trace 3,"Enables【Canto (Rem. +1)】.Inflicts Atk/Def-3 on foe during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",240,No
,A/D Spiked Wall,"Foes with Range = 1 cannot move through spaces adjacent to unit (does not affect foes with Pass skills).Foes with Range = 2 cannot move through spaces within 2 spaces of unit (does not affect foes with Pass skills).Inflicts Atk/Def-4 on foe, deals damage = 15% of the greater of unit's Def or Res (excluding area-of-effect Specials), reduces damage from foe's first attack by 7 (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat.",300,No
,A/R Cantrip 3,"If Sing or Dance is used, inflicts Atk/Res-7 and【Sabotage】on foes in cardinal directions of unit and target through their next actions.【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.",300,No
,A/R Far Resound,"Enables【Canto (Rem.; Min １)】.Deals damage to unit as combat begins = 20% of X (X = unit's max HP before entering battle - 20; ""max HP before entering battle"" means unit's max HP excluding HP increases from Legendary Effects, Mythic Effects, Bonus Heroes, etc.; activates only when unit can attack in combat; effects that reduce damage ""during combat"" do not apply; will not reduce unit's HP below 1).Inflicts Atk/Res-4 on foe, unit deals damage = unit's HP at start of combat - current HP, × 2 (max 12, min 6; excluding area-of-effect Specials) and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by percentage = unit's HP at start of combat - current HP, × 10 during combat (max 60%, min 30%; excluding area-of-effect Specials).【Canto (Rem.; Min １)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn (min. １; if unit used a movement skill that warped them, unit can move １ space(s)).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",300,No
,A/R Far Trace 1,"Enables【Canto (Rem.)】.Inflicts Atk/Res-1 on foe during combat.【Canto (Rem.)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn. (If unit used a movement skill that warped them, its remaining movement is 0.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",60,No
,A/R Far Trace 2,"Enables【Canto (Rem.)】.Inflicts Atk/Res-2 on foe during combat.【Canto (Rem.)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn. (If unit used a movement skill that warped them, its remaining movement is 0.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",120,No
,A/R Far Trace 3,"Enables【Canto (Rem.)】.Inflicts Atk/Res-3 on foe during combat.【Canto (Rem.)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn. (If unit used a movement skill that warped them, its remaining movement is 0.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",240,No
,A/R Far Trace 4,"Enables【Canto (Rem.; Min １)】.Inflicts Atk/Res-4 on foe during combat and unit deals +7 damage, including when dealing damage with a Special triggered before combat.【Canto (Rem.; Min １)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn (min. １; if unit used a movement skill that warped them, unit can move １ space(s)).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",300,No
,A/R Near Trace 1,"Enables【Canto (Rem. +1)】.Inflicts Atk/Res-1 on foe during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",60,No
,A/R Near Trace 2,"Enables【Canto (Rem. +1)】.Inflicts Atk/Res-2 on foe during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",120,No
,A/R Near Trace 3,"Enables【Canto (Rem. +1)】.Inflicts Atk/Res-3 on foe during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",240,No
,A/R Near Trace 4,"Enables【Canto (Rem. +1; Min ２)】.Inflicts Atk/Res-4 on foe during combat and unit deals +7 damage including when dealing damage with a Special triggered before combat.【Canto (Rem. +1; Min ２)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn +1 (min ２; if unit used a movement skill that warped them, unit can move ２ space(s)).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",300,No
,A/S Bulwark 4,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit (does not affect foes with Pass skills). Inflicts Atk/Spd-4 on foe and reduces damage from foe's first attack by 40% during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes). Restores 7 HP to unit after combat.",300,No
,A/S Far Trace 1,"Enables【Canto (Rem.)】.Inflicts Atk/Spd-1 on foe during combat.【Canto (Rem.)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn. (If unit used a movement skill that warped them, its remaining movement is 0.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",60,No
