Icon,Name,Description,SP,Exclusive
,A/D Briar F Save,"If foe with Range = 2 initiates combat against an ally within 2 spaces of unit, triggers【Savior】on unit.If foe's Range = 2, grants Atk/Def+4 to unit and reduces damage from foe's first attack by 5 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and unit's next attack deals damage = 40% of foe's attack damage prior to reductions (resets at end of combat; only highest value applied; does not stack).【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",300,No
,A/D Far Save 1,"If a foe uses bow, dagger, magic, or staff and initiates combat against an ally adjacent to unit, triggers【Savior】on unit.If unit triggers Savior, grants Atk/Def+1 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",100,No
,A/D Far Save 2,"If a foe uses bow, dagger, magic, or staff and initiates combat against an ally within 2 spaces of unit, triggers【Savior】on unit.If unit triggers Savior, grants Atk/Def+2 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",200,No
,A/D Far Save 3,"If a foe uses bow, dagger, magic, or staff and initiates combat against an ally within 2 spaces of unit, triggers【Savior】on unit.If unit triggers Savior, grants Atk/Def+4 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",300,No
,A/D Near Save 1,"If a foe uses sword, lance, axe, dragonstone, or beast damage and initiates combat against an ally adjacent to unit, triggers【Savior】on unit.If unit triggers Savior, grants Atk/Def+1 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",100,No
,A/D Near Save 2,"If a foe uses sword, lance, axe, dragonstone, or beast damage and initiates combat against an ally within 2 spaces of unit, triggers【Savior】on unit.If unit triggers Savior, grants Atk/Def+2 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",200,No
,A/D Near Save 3,"If a foe uses sword, lance, axe, dragonstone, or beast damage and initiates combat against an ally within 2 spaces of unit, triggers【Savior】on unit.If unit triggers Savior, grants Atk/Def+4 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",300,No
,A/D Twin F Save,"If foe with Range = 2 initiates combat against an ally within 2 spaces of unit, triggers 【Savior】on unit.If foe's Range = 2, grants Atk/Def+4 to unit during combat, any ""reduces damage by X%"" effect that can be triggered only once per combat by unit's equipped Special skill can be triggered up to twice per combat (excludes boosted Special effects from engaging; only highest value applied; does not stack), and restores 7 HP to unit when unit deals damage to foe during combat (triggers even if 0 damage is dealt).【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",300,No
,A/D Twin N Save,"If foe with Range = 1 initiates combat against an ally within 2 spaces of unit, triggers 【Savior】on unit.If foe's Range = 1, grants Atk/Def+4 to unit during combat, any ""reduces damage by X%"" effect that can be triggered only once per combat by unit's equipped Special skill can be triggered up to twice per combat (excludes boosted Special effects from engaging; only highest value applied; does not stack), and restores 7 HP to unit when unit deals damage to foe during combat (triggers even if 0 damage is dealt).【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",300,No
,A/R Far Save 1,"If a foe uses bow, dagger, magic, or staff and initiates combat against an ally adjacent to unit, triggers【Savior】on unit.If unit triggers Savior, grants Atk/Res+1 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",100,No
,A/R Far Save 2,"If a foe uses bow, dagger, magic, or staff and initiates combat against an ally within 2 spaces of unit, triggers【Savior】on unit.If unit triggers Savior, grants Atk/Res+2 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",200,No
,A/R Far Save 3,"If a foe uses bow, dagger, magic, or staff and initiates combat against an ally within 2 spaces of unit, triggers【Savior】on unit.If unit triggers Savior, grants Atk/Res+4 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",300,No
,A/R Incite Hone,"At start of turn, if unit is within 2 spaces of an ally, grants Atk/Res+6 and【Incited】to unit and allies within 2 spaces of unit for 1 turn.Grants bonus to unit's Atk/Res during combat = number of allies on the map with the【Incited】 effect + 2 (excluding unit; max 5).【Incited】If unit initiates combat, grants bonus to unit's Atk/Spd/Def/Res = number of spaces from start position to end position of unit during combat (max 3; that turn only).",300,No
,A/R Near Save 1,"If a foe uses sword, lance, axe, dragonstone, or beast damage and initiates combat against an ally adjacent to unit, triggers【Savior】on unit.If unit triggers Savior, grants Atk/Res+1 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",100,No
,A/R Near Save 2,"If a foe uses sword, lance, axe, dragonstone, or beast damage and initiates combat against an ally within 2 spaces of unit, triggers【Savior】on unit.If unit triggers Savior, grants Atk/Res+2 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",200,No
,A/R Near Save 3,"If a foe uses sword, lance, axe, dragonstone, or beast damage and initiates combat against an ally within 2 spaces of unit, triggers【Savior】on unit.If unit triggers Savior, grants Atk/Res+4 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",300,No
,A/R Twin F Save,"If foe with Range = 2 initiates combat against an ally within 2 spaces of unit, triggers 【Savior】on unit.If foe's Range = 2, grants Atk/Res+4 to unit during combat, any ""reduces damage by X%"" effect that can be triggered only once per combat by unit's equipped Special skill can be triggered up to twice per combat (excludes boosted Special effects from engaging; only highest value applied; does not stack), and restores 7 HP to unit when unit deals damage to foe during combat (triggers even if 0 damage is dealt).【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",300,No
,A/R Twin N Save,"If foe with Range = 1 initiates combat against an ally within 2 spaces of unit, triggers 【Savior】on unit.If foe's Range = 1, grants Atk/Res+4 to unit during combat, any ""reduces damage by X%"" effect that can be triggered only once per combat by unit's equipped Special skill can be triggered up to twice per combat (excludes boosted Special effects from engaging; only highest value applied; does not stack), and restores 7 HP to unit when unit deals damage to foe during combat (triggers even if 0 damage is dealt).【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",300,No
,A/S Far Save 1,"If a foe uses bow, dagger, magic, or staff and initiates combat against an ally adjacent to unit, triggers【Savior】on unit.If unit triggers Savior, grants Atk/Spd+1 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",100,No
,A/S Far Save 2,"If a foe uses bow, dagger, magic, or staff and initiates combat against an ally within 2 spaces of unit, triggers【Savior】on unit.If unit triggers Savior, grants Atk/Spd+2 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",200,No
,A/S Far Save 3,"If a foe uses bow, dagger, magic, or staff and initiates combat against an ally within 2 spaces of unit, triggers【Savior】on unit.If unit triggers Savior, grants Atk/Spd+4 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",300,No
,A/S Incite Hone,"At start of turn, if unit is within 2 spaces of an ally, grants Atk/Spd+6 and【Incited】to unit and allies within 2 spaces of unit for 1 turn.Grants bonus to unit's Atk/Spd during combat = number of allies on the map with the【Incited】 effect + 2 (excluding unit; max 5).【Incited】If unit initiates combat, grants bonus to unit's Atk/Spd/Def/Res = number of spaces from start position to end position of unit during combat (max 3; that turn only).",300,No
,A/S Near Save 1,"If a foe uses sword, lance, axe, dragonstone, or beast damage and initiates combat against an ally adjacent to unit, triggers【Savior】on unit.If unit triggers Savior, grants Atk/Spd+1 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",100,No
,A/S Near Save 2,"If a foe uses sword, lance, axe, dragonstone, or beast damage and initiates combat against an ally within 2 spaces of unit, triggers【Savior】 on unit.If unit triggers Savior, grants Atk/Spd+2 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",200,No
,A/S Near Save 3,"If a foe uses sword, lance, axe, dragonstone, or beast damage and initiates combat against an ally within 2 spaces of unit, triggers【Savior】 on unit.If unit triggers Savior, grants Atk/Spd+4 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",300,No
,A/S Rein Snap,"Inflicts Atk/Spd-4 on foes within 2 spaces of unit during combat. At start of turn, if unit is within 2 spaces of an armored ally or an infantry ally with Range = 1, grants ""unit can move 1 extra space"" to unit, to infantry allies with Range = 1 within 2 spaces of unit, and to armored allies within 2 spaces of unit. (That turn only; does not stack; effect triggers only if unit has no Sing or Dance skill.)",300,No
,Absolute Closure,"At start of turn, inflicts【Undefended】and 【Feud】on foes within 3 columns or 3 rows centered on unit through their next actions. At start of turn, if any foe is within 3 columns or 3 rows centered on unit, grants【Dodge】to unit and neutralizes any【Penalty】 (excluding penalties inflicted at start of turn). If unit transforms, grants Atk/Spd/Def/Res+4 to unit and neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.【Undefended】Unit cannot be protected by Savior through their next action.【Feud】Disables all ally skills (excluding unit's) during combat through unit's next action.【Dodge】If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",300,Yes
