Icon,Name,Description,SP,Badge Color
,Aerobatics 1,"If unit's HP = 100%, unit can move to a space adjacent to any infantry, armored, or cavalry ally within 2 spaces.",60,
,Aerobatics 2,"If unit's HP ≥ 50%, unit can move to a space adjacent to any infantry, armored, or cavalry ally within 2 spaces.",120,
,Aerobatics 3,"Unit can move to a space adjacent to any infantry, armored, or cavalry ally within 2 spaces.",240,
,Air Orders 1,"At start of turn, if unit's HP = 100%, grants the following status to adjacent flying allies for 1 turn: ""Unit can move to a space adjacent to any ally within 2 spaces.""",60,
,Air Orders 2,"At start of turn, if unit's HP ≥ 50%, grants the following status to adjacent flying allies for 1 turn: ""Unit can move to a space adjacent to any ally within 2 spaces.""",120,
,Air Orders 3,"At start of turn, grants the following status to adjacent flying allies for 1 turn: ""Unit can move to a space adjacent to any ally within 2 spaces.""",240,
,Armor March 1,"At start of turn, if unit's HP = 100% and unit is adjacent to an armored ally, unit and adjacent armored allies can move 1 extra space. (That turn only. Does not stack.)",60,
,Armor March 2,"At start of turn, if unit's HP ≥ 50% and unit is adjacent to an armored ally, unit and adjacent armored allies can move 1 extra space. (That turn only. Does not stack.)",120,
,Armor March 3,"At start of turn, if unit is adjacent to an armored ally, unit and adjacent armored allies can move 1 extra space. (That turn only. Does not stack.)",240,
,Armored Blow 1,"If unit initiates combat, grants Def+2 during combat.",50,
,Armored Blow 2,"If unit initiates combat, grants Def+4 during combat.",100,
,Armored Blow 3,"If unit initiates combat, grants Def+6 during combat.",200,
,Armored Boots,"At start of turn, if unit's HP = 100%, unit can move 1 extra space. (That turn only. Does not stack.)",100,
,Assault Troop 1,"At start of turn, if any foe is in cardinal directions of unit, grants【Charge】to unit for 1 turn.【Charge】Unit can move up to 3 spaces in any cardinal direction. (Cannot move through foes, terrain that blocks movement, or effects of skills like Obstruct. Granted movement treated as Warp movement.)",60,
,Assault Troop 2,"At start of turn, if any foe is within 3 columns or 3 rows centered on unit, grants【Charge】to unit for 1 turn.【Charge】Unit can move up to 3 spaces in any cardinal direction. (Cannot move through foes, terrain that blocks movement, or effects of skills like Obstruct. Granted movement treated as Warp movement.)",120,
,Assault Troop 3,"At start of turn, if unit's HP = 100% or any foe is within 3 columns or 3 rows centered on unit, grants【Charge】to unit for 1 turn.【Charge】Unit can move up to 3 spaces in any cardinal direction. (Cannot move through foes, terrain that blocks movement, or effects of skills like Obstruct. Granted movement treated as Warp movement.)",240,
,Atk Feint 1,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk-3 on foes in cardinal directions of unit through their next actions.",60,
,Atk Feint 2,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk-5 on foes in cardinal directions of unit through their next actions.",120,
,Atk Feint 3,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk-7 on foes in cardinal directions of unit through their next actions.",240,
,Atk Opening 1,"At start of turn, grants Atk+2 to ally with the highest Atk for 1 turn. (Excludes unit.)",60,
,Atk Opening 2,"At start of turn, grants Atk+4 to ally with the highest Atk for 1 turn. (Excludes unit.)",120,
,Atk Opening 3,"At start of turn, grants Atk+6 to ally with the highest Atk for 1 turn. (Excludes unit.)",240,
