Sprite,Weapon,Might,Range,Description,SP,Exclusive
,Airborne Spear,16,1,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+4 to unit and neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat, and also, if unit's Res > foe's Res, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%).",400,Yes
,Allied Lance,10,1,"Grants Atk/Def+4 to allies within 2 spaces during combat. If unit is within 2 spaces of an ally, grants Atk/Def+4 to unit during combat.",200,No
,Allied Lance+,14,1,"Grants Atk/Def+4 to allies within 2 spaces during combat. If unit is within 2 spaces of an ally, grants Atk/Def+4 to unit during combat.",300,No
,Apotheosis Spear,16,1,"Grants Spd+3. Unit can move to a space adjacent to an ally within 2 spaces. At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 to unit during combat.",400,Yes
,Arcane Lúin,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, deals damage = 20% of unit's Spd (including when dealing damage with a Special triggered before combat), neutralizes foe's bonuses to Spd/Def during combat, and also, if unit's Spd > foe's Spd, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.",300,No
,Arcane Qiang,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 during combat, unit makes a guaranteed follow-up attack, foe cannot make a follow-up attack, and also, if unit or foe initiates combat after moving to a different space, grants Special cooldown charge +1 to unit per attack during combat. (Only highest value applied. Does not stack.)",300,No
,Areadbhar,16,1,"Accelerates Special trigger (cooldown count-1).At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 during combat, and also, if unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%).(If area-of-effect Special triggers outside of combat, checks stats and conditions for damage reduction at time of trigger and again at start of combat.)",400,Yes
,Azure Lance,16,1,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd+5 to unit during combat and unit deals +7 damage.",400,Yes
,Barrier Lance,10,1,"If foe initiates combat, grants Res+7 during combat.",200,No
,Barrier Lance+,14,1,"If foe initiates combat, grants Res+7 during combat.",300,No
,Bereft Lance,16,1,"Grants Def+3. Grants Atk/Def+X during combat. (Calculates X based on number of allies within 2 spaces of unit: 0 allies grants +6; 1 ally grants +4; 2 allies grants +2; ≥3 allies grants +0.) If the number of allies within 2 spaces is ≤ 1, neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",400,Yes
,Berkut's Lance,10,1,"If foe initiates combat, grants Res+4 during combat.",200,No
,Berkut's Lance+,14,1,"If foe initiates combat, grants Res+4 during combat.",300,No
,Binding Reginleif,16,1,"Accelerates Special trigger (cooldown count-1). Effective against armored and cavalry foes. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 during combat, reduces damage from foe's first attack by 30%, and also, if unit initiates combat, neutralizes effects that prevent unit's follow-up attacks.",400,Yes
