Sprite,Weapon,Might,Range,Description,SP,Exclusive
,Ancient Trickery,14,2,"Grants HP+5.At start of turn, if unit's HP ≥ 25%, inflicts Spd/Res-7 and【Sabotage】on closest foes and any foes within 2 spaces of those foes through their next actions.At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = 25% of foe's Atk at start of combat - 4 (max 14; min 5), grants bonus to unit's Atk/Spd/Def/Res = highest respective stat from among allies within 3 spaces - unit's stat values (calculates each stat bonus independently at start of combat; if unit's stat is highest, unit's stat will decrease), deals damage = 20% of unit's Spd (excluding area-of-effect Specials), and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.",400,Yes
,Arcane Euphoria,14,2,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, unit makes a guaranteed follow-up attack, deals damage = 15% of unit's Atk (including when dealing damage with a Special triggered before combat), and reduces damage from foe's first attack by 30% during combat.",300,No
,Arcane Medusa,14,2,"Accelerates Special trigger (cooldown count-1).At start of turn, if unit's HP ≥ 25%, grants 【Anathema】to unit for 1 turn.At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = 25% of foe's Atk at start of combat - 4 (max 14; min 5), deals damage = 15% of unit's Atk (including area-of-effect Specials), reduces damage from foe's first attack by 7 (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and grants Special cooldown count-1 to unit before unit's first attack during combat.【Anathema】Inflicts Spd/Def/Res-4 on foes within 3 spaces of unit during combat.",300,No
,Arcane Thunder,14,2,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, grants Special cooldown charge +1 to unit per attack (only highest value applied; does not stack), and neutralizes foe's bonuses to Spd/Res (from skills like Fortify, Rally, etc.) during combat, and also, if unit's Spd > foe's Spd, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.",300,No
,Argent Aura,14,2,"Accelerates Special trigger (cooldown count-1). At start of turn, inflicts Atk/Spd/Def/Res-5 and 【Stall】on foes on the enemy team with the lowest Spd and any foes within 2 spaces of those foes. At start of combat, if foe's HP ≥ 75%, grants Atk/Res+6 to unit during combat.【Stall】If unit has ""unit can move 1 extra space,"" converts that effect into ""restricts movement to 1 space"" through its next action.",400,Yes
,Aura,14,2,"If unit initiates combat, restores 5 HP to adjacent allies after combat.",400,Yes
,Aureola,14,2,"Effective against magic foes. Grants Res+3. If unit initiates combat or if unit is within 2 spaces of an ally, grants Atk/Spd/Res+5 and disables foe's skills that ""calculate damage using the lower of foe's Def or Res"" during combat. Restores 7 HP to unit and allies within 2 spaces after combat.",400,Yes
,Azure Breidablik,14,2,Grants Atk/Spd/Def/Res+4 to allies within 2 spaces during combat. Inflicts Atk/Spd/Def/Res-4 on foes within 2 spaces during combat.,400,Yes
,Blárblade,9,2,Slows Special trigger (cooldown count+1).Grants bonus to unit’s Atk = total bonuses on unit during combat.,200,No
,Blárblade+,13,2,Slows Special trigger (cooldown count+1).Grants bonus to unit’s Atk = total bonuses on unit during combat.,300,No
,Blárblooms,8,2,"If unit is adjacent to an ally, grants Atk/Spd/Def/Res+3 during combat.",200,No
,Blárblooms+,12,2,"If unit is adjacent to an ally, grants Atk/Spd/Def/Res+3 during combat.",300,No
,Blárdeer,8,2,"If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk+5 to unit, inflicts Atk-5 on foe, and inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.)",200,No
