Sprite,Weapon,Might,Range,Description,SP,Exclusive
,Achimenes Furl,14,2,"Accelerates Special trigger (cooldown count-1). Grants effects based on the number of movement types on the current team (excluding unit): If ≥ 1, inflicts Atk/Def/Res-5 on foes within 3 spaces during combat. If ≥ 2, reduces damage from foe's first attack during combat by 30%. If ≥ 3, grants ""when unit deals damage to foe during combat, restores 5 HP to unit (triggers even if 0 damage is dealt)"" to unit and allies within 3 spaces of unit during combat.",400,Yes
,Adroit War Tome,14,2,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Res+6 to unit during combat and the following effects will occur based on the value of unit's Res minus foe's Res: If ≥ 1, unit makes a guaranteed follow-up attack. If ≥ 5, if foe uses sword, lance, axe, bow, dagger, or beast damage, foe cannot counterattack. If ≥ 10, reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% (example: a foe with a ""reduce damage by 45%"" skill would reduce damage by 23% instead).",400,Yes
,Atlas,9,2,,200,No
,Atlas+,13,2,,300,No
,Baked Treats,14,2,"Enables【Canto (１)】.Accelerates Special trigger (cooldown count-1). At start of turn, inflicts Spd/Res-6 and 【Sabotage】on nearest foes within 5 spaces of unit and foes within 2 spaces of those foes through their next actions. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd+6 to unit, neutralizes effects that prevent unit's follow-up attacks, and neutralizes foe's bonuses to Spd/Res (from skills like Fortify, Rally, etc.) during combat.【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.",400,Yes
File:Weapon Brilliant Starlight.png,Brilliant Starlight,14,2,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit's HP ≥ 25%, grants Def/Res+6 and ""reduces damage from area-of-effect Specials by 80% (excluding Røkkr area-of-effect Specials)"" to unit and allies within 2 spaces of unit for 1 turn. At start of combat, if unit's HP ≥ 25%, inflicts Atk/Res-6 on foe during combat, neutralizes bonuses to foe's Atk/Res during combat, neutralizes effects that prevent unit's counterattacks, and restores 7 HP to unit after combat.",400,Yes
,Dire Breidablik,14,2,Grants Atk/Spd/Def/Res+4 to allies within 2 spaces during combat. Inflicts Atk/Spd/Def/Res-4 on foes within 2 spaces during combat.,400,Yes
,Duality Vessel,14,2,"Accelerates Special trigger (cooldown count-1). If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit during combat, unit makes a guaranteed follow-up attack, inflicts Special cooldown charge -1 on foe per attack (only highest value applied; does not stack), reduces damage from foe's attacks during combat by 20% of unit's Def (excluding area-of-effect Specials), and also, if unit's Def > foe's Def, reduces damage from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by difference between stats × 1.5.",400,Yes
,Elstone,6,2,,100,No
,Exalt's Tactics,14,2,"Accelerates Special trigger (cooldown count-1).If a Rally or movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit and if there is no【Divine Vein (Ice)】 currently applied by unit or allies, applies 【Divine Vein (Ice)】to spaces 2 spaces away from target after movement for 1 turn (excludes spaces occupied by a foe, destructible terrain other than【Divine Vein (Ice)】, and warp spaces in Rival Domains).After unit acts (if Canto triggers, after Canto), or at start of enemy phase when defending in Aether Raids, if there is no【Divine Vein (Ice)】 currently applied by unit or allies, applies 【Divine Vein (Ice)】to spaces 2 spaces away from unit for 1 turn (excludes spaces occupied by a foe, destructible terrain, and warp spaces in Rival Domains).At start of combat, if unit's HP ≥ 25%, inflicts penalty on foe's Atk/Spd/Res = 5 + number of allies within 3 rows or 3 columns centered on unit × 3 (max 14), neutralizes penalties on unit, and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat, and also, when Special triggers, neutralizes foe's ""reduces damage by X%"" effects from foe's non-Special skills (excluding area-of-effect Specials).【Divine Vein (Ice)】Applies the following status on space: Foes treat space as impassable terrain while status is active, but status is destructible (with 1 HP). Allies can move into and occupy space. If any allies occupy spaces with Divine Vein (Ice) applied, attacks targeting those spaces will hit the ally over destroying the Divine Vein (Ice). (Divine Vein effects do not stack; replaces any existing Divine Vein effect; Divine Vein effects applied simultaneously cancel each other out. Does not count as defensive terrain. Does not trigger in Pawns of Loki.)",400,Yes
,Fell Child's Might,14,2,"Accelerates Special trigger (cooldown count-1).For allies within 2 spaces of unit, reduces damage from attacks by 30% during ally's combat (excluding area-of-effect Specials).If unit initiates combat or foe's Range = 2, inflicts Atk/Res-6 on foe, inflicts penalty on foe's Atk/Res = 20% of unit's Res at start of combat, reduces damage from attacks by 30% (excluding area-of-effect Specials), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack), and also, if unit's Res ≥ foe's Res+10 during combat, unit attacks twice.",400,Yes
,Hvítrdeer,8,2,"If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk+5 to unit, inflicts Atk-5 on foe, and inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.)",200,No
,Hvítrdeer+,12,2,"If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk+5 to unit, inflicts Atk-5 on foe, and inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.)",300,No
,Hvítrvulture,8,2,"If unit is not adjacent to an ally, inflicts penalty on foe's Atk/Res during combat = 5 + any current penalty on each of those stats. (Example: if foe has -7 penalty to Atk, inflicts Atk-12, for a net penalty of Atk-19 during combat.) Calculates each stat penalty independently.",200,No
,Hvítrvulture+,12,2,"If unit is not adjacent to an ally, inflicts penalty on foe's Atk/Res during combat = 5 + any current penalty on each of those stats. (Example: if foe has -7 penalty to Atk, inflicts Atk-12, for a net penalty of Atk-19 during combat.) Calculates each stat penalty independently.",300,No
,Inner Wellspring,14,2,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit is within 2 spaces of an ally, grants【Null Follow-Up】to unit for 1 turn, and also, if Special cooldown count is at its maximum value, grants Special cooldown count-1. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit during combat and if Special triggers before or during combat, grants Special cooldown count-1 after combat.【Null Follow-Up】If unit's Spd > foe's Spd during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks for 1 turn.",400,Yes
,Jokers Wild,14,2,"Grants HP+5. Unit's Atk/Spd/Def/Res = highest respective stat from among allies within 2 spaces during combat. (Calculates each stat bonus independently at start of combat. If unit's stat is highest, unit's stat will decrease.)",400,Yes
,Joyful Vows,14,2,"Effective against armored and cavalry foes. Grants Atk+3. If【Bonus】is active on unit, grants Atk/Res+6 during combat, and if unit initiates combat, foe cannot make a follow-up attack.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",400,Yes
,Juicy Bucketful,8,2,"At start of turn, if unit's HP ≥ 25%, grants Atk+6 and ""if unit initiates combat, unit makes a guaranteed follow-up attack"" to unit for 1 turn.At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit during combat and deals +X damage (X = number of【Bonus】 effects active on unit and foe, excluding stat bonuses, × 5; max 25; excluding area-of-effect Specials).【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",200,No
,Juicy Bucketful+,12,2,"At start of turn, if unit's HP ≥ 25%, grants Atk+6 and ""if unit initiates combat, unit makes a guaranteed follow-up attack"" to unit for 1 turn.At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit during combat and deals +X damage (X = number of【Bonus】 effects active on unit and foe, excluding stat bonuses, × 5; max 25; excluding area-of-effect Specials).【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",300,No
