Sprite,Weapon,Might,Range,Description,SP,Exclusive
,Amity Blooms,8,2,"If unit is within 2 spaces of an ally, inflicts Atk/Res-5 on foe during combat, and when unit deals damage to foe during combat, restores 4 HP to unit. (Triggers even if 0 damage is dealt.)",200,No
,Amity Blooms+,12,2,"If unit is within 2 spaces of an ally, inflicts Atk/Res-5 on foe during combat, and when unit deals damage to foe during combat, restores 4 HP to unit. (Triggers even if 0 damage is dealt.)",300,No
,Arc. Caliburnus,14,2,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, unit makes a guaranteed follow-up attack, grants Special cooldown charge +1 to unit per attack (only highest value applied; does not stack), and neutralizes foe's bonuses to Atk/Res (from skills like Fortify, Rally, etc.) during combat.",300,No
,Arcane Truthfire,14,2,"Accelerates Special trigger (cooldown count-1).At start of turn, if unit's HP ≥ 25%, grants Atk+6 and the following status to unit for 1 turn: ""Unit can move to a space adjacent to any ally within 2 spaces.""If unit initiates combat with HP ≥ 25% and unit has an area-of-effect Special equipped, grants Special cooldown count-1 to unit before Special triggers before combat.At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = 25% of foe's Atk at start of combat - 4 (min 5, max 14), deals damage = 15% of unit's Atk (including when dealing damage with an area-of-effect Special), and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and also if unit's attack can trigger unit's Special (excluding area-of-effect Specials), grants Special cooldown count-1 to unit before unit's first attack during combat.",300,No
,Arch-Sage Tome,14,2,"Accelerates Special trigger (cooldown count-1). At start of turn, grants Atk/Spd/Def/Res+6 and 【Assign Decoy】to any support partner within 2 spaces of unit or, if unit is not on a team with unit's support partner, to ally with the highest Def within 2 spaces of unit for 1 turn. If unit is within 3 spaces of an ally, grants bonus to unit's Atk/Spd/Def/Res during combat = 5 + highest bonus on each stat between allies within 3 spaces of unit (calculates each stat bonus independently), and if unit's Res > foe's Res, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%).【Assign Decoy】If foe's Range = unit's Range and foe initiates combat against an ally within 2 spaces of unit, triggers【Savior】on unit (that turn only; triggers only if unit is not equipped with a skill that can trigger the Savior effect).【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",400,Yes
,Bewitching Tome,14,2,"Enables【Canto (１)】.Accelerates Special trigger (cooldown count-1). If unit initiates combat or foe's Range = 2, as combat begins, deals damage to foe = X% of foe's Atk (if unit has weapon-triangle advantage or unit's Spd > foe's Spd, X = 40; otherwise, X = 20; effects that reduce damage during combat do not apply; will not reduce foe's HP below 1). If unit initiates combat or foe's Range = 2, grants Atk/Spd/Def/Res+5 to unit, grants bonus to unit's Atk/Spd = 20% of unit's Spd at start of combat, and reduces damage from foe's first attack by 30% during combat, and restores 7 HP to unit after combat.【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400,Yes
,Blizzard,14,2,Grants Res+3. Grants bonus to unit's Atk = total penalties on foe during combat.,400,Yes
,Blood Tome,14,2,"Grants Atk+3. If foe uses bow, dagger, magic, or staff, reduces damage from area-of-effect Specials by 80% (excluding Røkkr area-of-effect Specials) and reduces damage from foe's attacks by 50%, and if foe is also colorless, grants weapon-triangle advantage to unit and inflicts weapon-triangle disadvantage on foe.",400,Yes
,Bond of the Álfar,14,2,Grants Spd+3. Grants Atk+6 to any ally in cardinal directions of unit during that ally's combat.,400,Yes
,Book of Shadows,14,2,"Grants Spd+3. If unit is adjacent to an ally, inflicts Atk/Spd/Def/Res-4 on foe during combat.",400,Yes
,Buoyboard,8,2,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Res+4 during combat.",200,No
,Buoyboard+,12,2,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Res+4 during combat.",300,No
,Caring Conch,14,2,"Accelerates Special trigger (cooldown count-1). If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit during combat, neutralizes effects that prevent unit's follow-up attacks, and inflicts Special cooldown charge -1 on foe per attack, and also, after combat, if unit attacked, inflicts【Guard】on target and foes within 2 spaces of target. (Only highest value applied. Does not stack.)【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",400,Yes
,Chaos Manifest,14,2,"Grants Res+3. If a penalty inflicted by a skill like Panic or Threaten and/or a negative status effect (preventing counterattacks or restricting movement) is active on foe, grants Atk+6 during combat and unit makes a guaranteed follow-up attack.",400,Yes
,Charging Horn,14,2,"Grants Def+3. Grants Atk/Spd+5 to allies within 3 rows or 3 columns centered on unit during combat. The following effects will occur based on the number of allies within 3 rows or 3 columns centered on unit: If ≥ 1 ally, inflicts Atk/Res-X on foe during combat (X = number of allies in the area × 2; max -6). If ≥ 3 allies, foe cannot make a follow-up attack. (If unit is within 2 spaces of a structure that a foe can destroy, the number of allies in the area is treated as 3.)",400,Yes
,Crow's Crystal,14,2,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit's HP ≥ 25%, grants ""unit cannot be slowed by terrain (does not apply to impassable terrain),""【Desperation】, and 【Dominance】to unit for 1 turn. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit during combat and neutralizes effects that prevent unit's follow-up attacks.【Desperation】Grants the following effect for 1 turn: ""If unit initiates combat, unit can make a follow-up attack before foe can counterattack.""【Dominance】Unit deals additional damage = total penalties on foe for 1 turn.",400,Yes
,Dancer's Ring,8,2,"If unit initiates combat, restores 7 HP to adjacent allies after combat.",200,No
,Dancer's Ring+,12,2,"If unit initiates combat, restores 7 HP to adjacent allies after combat.",300,No
,Dancing Flames,14,2,"Grants Atk+3. If Sing or Dance is used, grants Atk/Spd/Def/Res+6 to adjacent allies for 1 turn. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit during combat.",400,Yes
,Dark Excalibur,14,2,Deals +10 damage when Special triggers.,400,Yes
,Divine Draught,14,2,"Accelerates Special trigger (cooldown count-1). If unit is within 3 spaces of support partner, unit can move to a space within 2 spaces of that ally. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit during combat, and also, if unit initiates combat, unit is within 2 spaces of support partner, or 【Penalty】is active on foe, grants the following effects to unit during combat based on how many of those 3 conditions apply: if ≥ 2, unit attacks twice; if = 3, deals damage = 15% of the greater of unit's Atk or foe's Atk (excluding area-of-effect Specials).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",400,Yes
,Divine Naga,14,2,"Effective against dragon foes. Neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",400,Yes
,Elwind,6,2,,100,No
,Ereshkigal,14,2,"Accelerates Special trigger (cooldown count-1).At start of turn, if unit's HP ≥ 25%, grants Atk+6 and【Essence Drain】to unit and allies within 2 spaces of unit for 1 turn.At start of combat, if unit's HP ≥ 25%, inflicts Atk/Res-6 on foe, inflicts penalty on foe's Atk/Res = 20% of unit's Res at start of combat, deals damage = number of【Bonus】effects active on unit × 5 (excluding stat bonuses; max 25; excluding area-of-effect Specials), and reduces damage by value = number of 【Bonus】effects active on unit × 3 (excluding stat bonuses; max 15; excluding area-of-effect Specials), and also, if unit's attack can trigger unit's Special, grants Special cooldown count-X to unit before unit's first attack during combat (X = number of【Bonus】effects active on unit; excluding stat bonuses; max 3).【Essence Drain】After combat, if unit attacked, grants any 【Bonus】effects active on target and foes within 2 spaces of target to unit and allies with the Essence Drain effect, and neutralizes any【Bonus】active on target and foes within 2 spaces of target (excluding Bonus effects being granted at the same time). After combat, if foe was defeated in combat, restores 10 HP to unit and allies with the Essence Drain effect.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",400,Yes
,Excalibur,14,2,Effective against flying foes.,400,Yes
,Exotic Fruit Juice,14,2,Grants Atk+3. Inflicts Spd/Res-6 on foes within 2 spaces during combat.,400,Yes
,Faded Paper Fan,14,2,"Accelerates Special trigger (cooldown count-1). If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, reduces foe's Spd/Res during combat by 20% of unit's Spd at start of combat, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat, and also, if it is unit's first combat initiated by unit or first combat initiated by foe that turn, reduces damage from foe's first attack by 70% during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes). If unit initiates combat or unit is within 2 spaces of an ally, after combat, if unit attacked, inflicts status on target and foes within 2 spaces of target preventing counterattacks through their next actions.",400,Yes
,Flower of Sorrow,14,2,Grants Atk+3. Inflicts Def/Res-4 on any foe in a cardinal direction from unit during that foe's combat.,400,Yes
,Forseti,14,2,"Grants Spd+3. If unit's HP ≥ 50% and unit initiates combat, unit can make a follow-up attack before foe can counterattack.",400,Yes
,Giga Excalibur,14,2,"Grants Spd+3. If unit's Spd > foe's Spd, deals damage = 70% of difference between stats. (Maximum bonus of +7 damage. Combos with Phantom Spd.)",400,Yes
,Grafcalibur,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. If unit initiates combat or if unit is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 and neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",400,Yes
,Green Egg,7,2,"If unit initiates combat, restores 4 HP after combat.",200,No
,Green Egg+,11,2,"If unit initiates combat, restores 4 HP after combat.",300,No
,Green Gift,8,2,"If foe uses bow, dagger, magic, or staff, neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",200,No
,Green Gift+,12,2,"If foe uses bow, dagger, magic, or staff, neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",300,No
,Grim Brokkr,14,2,"Grants Atk+3. Enables【Canto (２)】during turns 1 through 4. If unit initiates combat or is not adjacent to an ally, inflicts Atk/Res-6 on foe during combat and unit makes a guaranteed follow-up attack.【Canto (２)】After an attack, Assist skill, or structure destruction, unit can move ２ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400,Yes
,Gronnblade,9,2,Slows Special trigger (cooldown count+1).Grants bonus to unit’s Atk = total bonuses on unit during combat.,200,No
,Gronnblade+,13,2,Slows Special trigger (cooldown count+1).Grants bonus to unit’s Atk = total bonuses on unit during combat.,300,No
,Gronnblooms,8,2,"If unit is adjacent to an ally, grants Atk/Spd/Def/Res+3 during combat.",200,No
,Gronnblooms+,12,2,"If unit is adjacent to an ally, grants Atk/Spd/Def/Res+3 during combat.",300,No
,Gronndeer,8,2,"If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk+5 to unit, inflicts Atk-5 on foe, and inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.)",200,No
,Gronndeer+,12,2,"If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk+5 to unit, inflicts Atk-5 on foe, and inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.)",300,No
,Gronnfox,8,2,"If unit initiates combat, inflicts Atk/Spd/Def/Res-4 on foe during combat.",200,No
,Gronnfox+,12,2,"If unit initiates combat, inflicts Atk/Spd/Def/Res-4 on foe during combat.",300,No
,Gronnlantern,8,2,"At start of turn, if unit is within 2 spaces of an ally, grants ""unit cannot be slowed by terrain (does not apply to impassable terrain)"" and ""Special cooldown charge +1 per attack during combat (only highest value applied; does not stack)"" to unit for 1 turn.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Res+5 to unit during combat.",200,No
,Gronnlantern+,12,2,"At start of turn, if unit is within 2 spaces of an ally, grants ""unit cannot be slowed by terrain (does not apply to impassable terrain)"" and ""Special cooldown charge +1 per attack during combat (only highest value applied; does not stack)"" to unit for 1 turn.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Res+5 to unit during combat.",300,No
,Gronnowl,6,2,"During combat, boosts unit's Atk/Spd/Def/Res by number of adjacent allies × 2.",200,No
,Gronnowl+,10,2,"During combat, boosts unit's Atk/Spd/Def/Res by number of adjacent allies × 2.",300,No
,Gronnrabbit,8,2,"During unit's first combat in player phase or enemy phase, grants Atk/Res+5 to unit and restores 7 HP to unit after combat.",200,No
,Gronnrabbit+,12,2,"During unit's first combat in player phase or enemy phase, grants Atk/Res+5 to unit and restores 7 HP to unit after combat.",300,No
,Gronnraven,7,2,"Grants weapon-triangle advantage against colorless foes, and inflicts weapon-triangle disadvantage on colorless foes during combat.",200,No
,Gronnraven+,11,2,"Grants weapon-triangle advantage against colorless foes, and inflicts weapon-triangle disadvantage on colorless foes during combat.",300,No
,Gronnserpent,8,2,"If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+6 during combat.",200,No
,Gronnserpent+,12,2,"If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+6 during combat.",300,No
,Gronnvulture,8,2,"If unit is not adjacent to an ally, inflicts penalty on foe's Atk/Res during combat = 5 + any current penalty on each of those stats. (Example: if foe has -7 penalty to Atk, inflicts Atk-12, for a net penalty of Atk-19 during combat.) Calculates each stat penalty independently.",200,No
,Gronnvulture+,12,2,"If unit is not adjacent to an ally, inflicts penalty on foe's Atk/Res during combat = 5 + any current penalty on each of those stats. (Example: if foe has -7 penalty to Atk, inflicts Atk-12, for a net penalty of Atk-19 during combat.) Calculates each stat penalty independently.",300,No
,Gronnwolf,6,2,Effective against cavalry foes.,200,No
,Gronnwolf+,10,2,Effective against cavalry foes.,300,No
File:Weapon Heidr weapon.png,Heiðr,14,2,"Accelerates Special trigger (cooldown count-1). If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Spd/Def/Res-4 and【Guard】 on foes in cardinal directions of unit and target through their next actions. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, deals damage = 15% of unit's Atk (excluding area-of-effect Specials), and reduces damage from foe's first attack by 30% during combat.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",400,Yes
,Heired Forseti,14,2,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit for 1 turn and grants Special cooldown count-1 to unit. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit during combat, reduces damage from foe's first attack during combat by 30%, and deals damage = X% of unit's Spd when Special triggers (X = unit's max Special cooldown count value × 10, + 20).",400,Yes
,Hibiscus Tome,8,2,Grants Atk/Spd+1 to allies within 2 spaces during combat.,200,No
,Hibiscus Tome+,12,2,Grants Atk/Spd+1 to allies within 2 spaces during combat.,300,No
,Hrist,14,2,"Grants Spd+3. At start of turn, if unit's HP = 100% and unit is within 2 spaces of an ally, deals 1 damage to unit and allies within 2 spaces of unit. If unit's HP < 100% at start of combat, grants Atk/Spd+6 to unit during combat and reduces damage from foe's first attack by 30%.",400,Yes
,Ífingr,14,2,"Effective against dragon foes. If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+4 and neutralizes effects that guarantee foe's follow-up attacks during combat, but after combat, if unit attacked, inflicts Atk/Spd/Def/Res-4 on nearest ally through its next action.",400,Yes
,Inscribed Tome,14,2,"Grants weapon-triangle advantage against colorless foes, and inflicts weapon-triangle disadvantage on colorless foes during combat.",400,Yes
,Iris's Tome,14,2,Grants bonus to unit’s Atk = total bonuses on unit during combat.,400,Yes
,Jade Breidablik,14,2,Grants Atk/Spd/Def/Res+4 to allies within 2 spaces during combat. Inflicts Atk/Spd/Def/Res-4 on foes within 2 spaces during combat.,400,Yes
,Joyous Tome,14,2,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit is within 3 spaces of an ally, restores 7 HP to unit and allies within 3 spaces of unit. Restores 7 HP to allies within 3 spaces of unit after their combat. Reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = number of allies with HP ≥ 50% within 3 spaces of unit × 15 (max 45%). If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit during combat and deals damage = number of allies with HP ≥ 50% within 3 spaces of unit × 5 (excluding area-of-effect Specials; max 15), and restores 7 HP after combat.",400,Yes
,Keen Gronnwolf,8,2,Effective against cavalry foes.,200,No
,Keen Gronnwolf+,12,2,Effective against cavalry foes.,300,No
