Weapon,Might,Range,Description,SP,Exclusive
Adult (Armored),9,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and unit can counterattack regardless of foe's range.",200,No
Adult (Cavalry),9,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",200,No
Adult (Flier),9,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, unit can move 1 extra space. (That turn only. Does not stack.) If unit transforms, grants Atk+2.",200,No
Adult (Infantry),9,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",200,No
Arcane Crest,14,1,"Accelerates Special trigger (cooldown count-1).If foe initiates combat or if unit's HP ≥ 25% at start of combat, grants bonus to unit's Atk/Spd/Def/Res = 25% of foe's Atk at start of combat - 4 (max 14; min 5), neutralizes penalties on unit, deals damage = 15% of unit's Atk (including area-of-effect Specials), reduces damage from foe's attacks by 15% of unit's Atk (including area-of-effect Specials; excluding Røkkr area-of-effect Specials), and grants Special cooldown count-1 to unit before unit's first attack during combat.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and unit can counterattack regardless of foe's range.",300,No
Arcane Nihility,14,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 and Atk/Spd/Def/Res+X to unit, inflicts Atk/Spd/Def/Res-X on foe (X = current bonus on each of foe's stats; calculates each stat bonus and penalty independently), and deals damage = 15% of unit's Spd during combat (including when dealing damage with a Special triggered before combat), and also, if unit's Spd > foe's Spd, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat. At start of turn, if unit is adjacent to only beast or dragon allies or is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 to unit, inflicts Atk/Def-X on foe during combat (X = number of spaces from start position to end position of whoever initiated combat + 3; max 6), and also, if X ≥ 5, reduces damage from foe's first attack by 30% during combat.",300,No
Brazen Cat Fang,14,1,"Grants Spd+3. If unit is not adjacent to an ally, grants Atk/Spd+6 during combat. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400,Yes
Bride's Fang,14,1,"Accelerates Special trigger (cooldown count-1).At start of combat, if foe's HP ≥ 75%, inflicts Atk/Spd/Def-5 on foe during combat, and if Special triggers before or during combat and unit attacked, grants Special cooldown count-1 after combat.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",400,Yes
Brightmare Horn,14,1,"Grants Spd+3. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 during combat, and also, if unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%).At start of combat, if unit's HP ≥ 25% while transformed, neutralizes effects that prevent unit's follow-up attacks during combat.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400,Yes
Bunny Fang,14,1,"Grants Spd+3. Effective against cavalry foes. After combat, if unit's HP ≤ 75%, grants Special cooldown count-2.Effect:【Beast (Cavalry)】【Beast (Cavalry)】At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400,Yes
