Sprite,Weapon,Might,Range,Description,SP,Exclusive
,Aptitude Arrows,14,2,"Effective against flying foes. Grants Spd+3. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+X (X = 25% of unit's level; max 10), deals damage = 20% of unit's Spd (including when dealing damage with a Special triggered before combat), and neutralizes unit's penalties during combat.",400,Yes
,Arcane Darkbow,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit, neutralizes unit's penalties, and neutralizes effects that prevent unit's follow-up attacks during combat, and also, if unit initiates combat, unit can make a follow-up attack before foe can counterattack.",300,No
,Arcane Náströnd,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit during combat, unit makes a guaranteed follow-up attack, reduces damage from foe's first attack during combat by 30%, and grants bonus to unit's Atk during combat = 12 - foe's max Special cooldown count value × 2 (min 4; if foe does not have a Special skill, bonus = 4).",300,No
,Argent Bow,8,2,"Effective against flying foes. Inflicts Spd-2. If unit initiates combat, unit attacks twice.",400,Yes
,Assassin's Bow,7,2,"Effective against flying foes.In combat against a colorless dagger foe, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack.",200,No
,Assassin's Bow+,11,2,"Effective against flying foes.In combat against a colorless dagger foe, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack.",300,No
,Beguiling Bow,8,2,"Effective against flying foes. At start of combat, if foe’s HP = 100%, grants Atk/Spd/Def/Res+2 during combat.",200,No
,Beguiling Bow+,12,2,"Effective against flying foes. At start of combat, if foe’s HP = 100%, grants Atk/Spd/Def/Res+2 during combat.",300,No
,Big-Catch Bow,8,2,"Effective against flying foes. If【Penalty】is active on foe, grants Atk/Spd+5 during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",200,No
,Big-Catch Bow+,12,2,"Effective against flying foes. If【Penalty】is active on foe, grants Atk/Spd+5 during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",300,No
,Bouquet Bow,8,2,"Effective against flying foes. If unit initiates combat, grants Atk/Spd+4 during combat.",200,No
,Bouquet Bow+,12,2,"Effective against flying foes. If unit initiates combat, grants Atk/Spd+4 during combat.",300,No
,Bow of Beauty,14,2,Accelerates Special trigger (cooldown count-1). Effective against flying foes.,400,Yes
,Bow of Devotion,14,2,"Effective against flying foes. If foe initiates combat and uses bow, dagger, magic, or staff, grants Atk/Spd/Def/Res+4 to unit during combat.",400,Yes
,Bow of Frelia,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit during combat, and also, if Special triggers (excluding area-of-effect Specials), deals +7 damage and neutralizes ""reduces damage by X%"" effects from non-Special skills.",400,Yes
,Bow of Repose,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. At start of turn, if unit's HP = 100% and unit is within 2 spaces of an ally, deals 1 damage to unit and allies within 2 spaces of unit. At start of combat, if unit's HP ≤ 99%, grants Atk/Spd/Def/Res+5 to unit and inflicts Spd/Def-X on foe during combat (X = number of spaces from start position to end position of whoever initiates combat × 2, + 3; max 11), and also, the following effects will occur based on that number of spaces: if ≥ 1 space, reduces damage from foe's first attack during combat by 30%; if ≥ 2, also neutralizes effects that prevent unit's follow-up attacks during combat and effects that inflict ""Special cooldown charge -X"" on unit during combat.",400,Yes
,Bow of Twelve,14,2,"Enables【Canto (１)】.Accelerates Special trigger (cooldown count-1). Effective against flying foes. If unit initiates combat, or if unit's HP ≥ 75% at start of combat and foe uses magic or staff, grants Atk/Spd/Def/Res+5 to unit during combat, and also, if unit’s HP > 1 and foe would reduce unit's HP to 0, unit survives with 1 HP. (Once per combat. Does not stack.)【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400,Yes
,Bow of Verdane,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. If unit initiates combat or is not adjacent to an ally, grants Atk/Spd+5 to unit during combat.",400,Yes
,Brave Bow,4,2,"Effective against flying foes.Inflicts Spd-5. If unit initiates combat, unit attacks twice.",200,No
,Brave Bow+,7,2,"Effective against flying foes.Inflicts Spd-5. If unit initiates combat, unit attacks twice.",300,No
,Breaker Bow,14,2,"Accelerates Special trigger (cooldown count-1).Effective against beast and flying foes.Enables【Canto (１)】.Unit can move to a space within 2 spaces of any ally within 2 spaces.At start of combat, if unit's HP ≥ 25%, neutralizes foe's bonuses to Spd/Def (from skills like Fortify, Rally, etc.), grants Atk/Spd/Def/Res+5 to unit, and grants Atk/Spd+X × 6 to unit during combat (X = the number of allies with Atk ≥ 55 within 3 rows or 3 columns centered on unit + the number of allies with Spd ≥ 40 in the same area; max 3), and also, if unit's attack can trigger unit's Special, grants Special cooldown count-A to unit before unit's first attack and grants Special cooldown count-B to unit before unit's first follow-up attack during combat (A = X + 1; max = unit's Special cooldown count value at start of combat; B = X + 1 - unit's Special cooldown count value at start of combat; min 0).【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400,Yes
,Budding Bow,8,2,"Effective against flying foes. If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",200,No
,Budding Bow+,12,2,"Effective against flying foes. If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",300,No
,Candlewax Bow,8,2,"Effective against flying foes. Grants Atk/Spd/Def/Res+3. After combat, deals 6 damage to unit.",200,No
,Candlewax Bow+,12,2,"Effective against flying foes. Grants Atk/Spd/Def/Res+3. After combat, deals 6 damage to unit.",300,No
,Carrot Bow,8,2,"Effective against flying foes. At start of player phase or enemy phase, if any foes within 3 rows or 3 columns centered on unit have Res < unit's Res+5, inflicts Atk/Def-7 and 【Discord】on those foes through their next actions. If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Res+5 to unit during combat, and if【Discord】is inflicted on foe, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack.【Discord】Inflicts Atk/Spd/Def/Res-X on unit during combat (X = 2 + number of allies within 2 spaces of unit; max 5) through its next action.",200,No
,Carrot Bow+,12,2,"Effective against flying foes. At start of player phase or enemy phase, if any foes within 3 rows or 3 columns centered on unit have Res < unit's Res+5, inflicts Atk/Def-7 and 【Discord】on those foes through their next actions. If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Res+5 to unit during combat, and if【Discord】is inflicted on foe, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack.【Discord】Inflicts Atk/Spd/Def/Res-X on unit during combat (X = 2 + number of allies within 2 spaces of unit; max 5) through its next action.",300,No
