Sprite,Weapon,Might,Range,Description,SP,Exclusive
,Absolute Amiti,11,1,"Enables【Canto (２)】.Accelerates Special trigger (cooldown count-1).Unit attacks twice (even if foe initiates combat, unit attacks twice).If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, grants Atk/Spd+X to unit (X = 11 - foe's max Special cooldown count value × 2; min 3; if foe does not have a Special skill, X = 3), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat.【Canto (２)】After an attack, Assist skill, or structure destruction, unit can move ２ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400,Yes
,Aerial Longsword,16,1,"At start of turn, if unit is within 2 spaces of an ally, grants Atk/Spd+6,【Null Follow-Up】, and ""neutralizes penalties on unit during combat"" to unit and allies within 2 spaces for 1 turn.If unit initiates combat or is within 2 spaces of an ally, grants bonus to Atk/Spd/Def/Res = 5 + 10% of unit's Spd at start of combat, reduces damage from foe's first attack by 7 (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack).【Null Follow-Up】If unit's Spd > foe's Spd during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks for 1 turn.",400,Yes
,Allied Sword,10,1,"Grants Atk/Def+4 to allies within 2 spaces during combat. If unit is within 2 spaces of an ally, grants Atk/Def+4 to unit during combat.",200,No
,Allied Sword+,14,1,"Grants Atk/Def+4 to allies within 2 spaces during combat. If unit is within 2 spaces of an ally, grants Atk/Def+4 to unit during combat.",300,No
,Alondite,16,1,Unit can counterattack regardless of foe's range.,400,Yes
,Amatsu,16,1,"Accelerates Special trigger (cooldown count-1).At start of combat, if unit's HP ≥ 50%, unit can counterattack regardless of foe's range.",400,Yes
,Amiti,11,1,"Inflicts Spd-2. If unit initiates combat, unit attacks twice.",400,Yes
,Ancient Ragnell,16,1,"Grants Def+3. Unit can counterattack regardless of foe's range. At start of combat, if unit's HP ≥ 50% or【Bonus】is active on unit, inflicts Atk/Def-6 on foe during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",400,Yes
,Arcane Devourer,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, grants Special cooldown charge +1 to unit per attack (only highest value applied; does not stack), and reduces damage from foe's first attack by 40% during combat, and also, if unit's Spd > foe's Spd, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.",300,No
,Arcane Éljúðnir,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, inflicts Atk/Def-6 on foe during combat, unit makes a guaranteed follow-up attack, foe cannot make a follow-up attack, and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",300,No
,Arden's Blade,10,1,"Inflicts Spd-5. Unit attacks twice.(Even if foe initiates combat, unit attacks twice.)",400,Yes
,Ardent Durandal,16,1,"Grants Atk+3. At start of turn, grants 【Bonus Doubler】 to ally with the highest Atk.【Bonus Doubler】Grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats for 1 turn. Calculates each stat bonus independently.",400,Yes
,Armorslayer,8,1,Effective against armored foes.,200,No
,Armorslayer+,12,1,Effective against armored foes.,300,No
,Armorsmasher,10,1,Effective against armored foes.,200,No
,Armorsmasher+,14,1,Effective against armored foes.,300,No
,Ascending Blade,16,1,"Accelerates Special trigger (cooldown count-1). At the start of turn 1, grants Special cooldown count-1. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks, and after combat, grants Special cooldown count-1.",400,Yes
,Astra Blade,16,1,"Grants Atk+3. If unit's Atk > foe's Def, deals damage = 50% of unit's Atk minus foe's Def.",400,Yes
,Audhulma,16,1,Accelerates Special trigger (cooldown count-1).Grants Res+5.,400,Yes
,Ayra's Blade,16,1,"Grants Spd+3. If unit's Spd > foe's Spd, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)",400,Yes
,Azure Twin Edge,16,1,"Accelerates Special trigger (cooldown count-1).At start of turn, if unit is within 2 spaces of an ally, grants【Empathy】and the following status to unit and allies within 2 spaces for 1 turn: ""grants Special cooldown charge +1 per attack during combat (only highest value applied; does not stack).""If unit initiates combat or if unit is within 2 spaces of an ally, grants bonus to unit's Atk/Spd/Def/Res = number of allies within 3 rows or 3 columns centered on unit × 3, + 5 (max 14), deals damage = 20% of unit's Spd (excluding area-of-effect Specials), reduces damage from foe's first attack by 20% of unit's Spd (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.Unit can use the following【Style】:――――― Wind Sword Style ―――――Unit can attack foes 2 spaces away (unit cannot attack adjacent foes). Calculates damage using the lower of foe's Def or Res during combat (excluding area-of-effect Specials).Unit suffers a counterattack if any of the following conditions are met: foe is armored with Range = 1, foe can counterattack regardless of unit's range, or foe's Range is the same as the distance between unit and foe.After-combat movement effects do not occur. Skill effect's Range is treated as 1, including by skill effects determined by attack Range, like Pavise and Aegis. This Style can be used only once per turn.――――――――――――――――――――【Empathy】Grants bonus to unit's Atk/Spd/Def/Res = number of types of Bonus effects, excluding stat bonuses, and Penalty effects, excluding stat penalties, active on player team and enemy team during combat (max 7).【Style】Change Style using the Style button at the bottom of the screen.A unit's Style is only active when that unit is taking an action. When unit is equipped with a skill that has a Style, unit will not be able to use skills like Duo Skills or Harmonized Skills. Style use is disabled when unit is deployed using Pair Up or when unit is equipped with multiple skills that have a Style.",400,Yes
,Balmung,16,1,"Grants Spd+3. If foe initiates combat or if foe's HP = 100% at start of combat, neutralizes penalties on unit and grants Atk/Spd/Def/Res+5 to unit during combat.",400,Yes
,Barrier Blade,10,1,"If foe initiates combat, grants Res+7 during combat.",200,No
,Barrier Blade+,14,1,"If foe initiates combat, grants Res+7 during combat.",300,No
,Bellringer,10,1,"When unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.)",200,No
,Bellringer+,14,1,"When unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.)",300,No
,Beloved Zofia,16,1,"Grants Def+3. At start of combat, if unit's HP = 100%, grants Atk/Spd/Def/Res+4, but after combat, if unit attacked, deals 4 damage to unit.",400,Yes
,Binding Blade,16,1,"If foe initiates combat, grants Def/Res+2 during combat.",400,Yes
,Blade of Favors,16,1,"Accelerates Special trigger (cooldown count-1). At start of player phase or enemy phase, if any foes are within 3 rows or 3 columns centered on unit, inflicts Atk/Spd/Def-6 on those foes through their next actions and grants Atk/Spd/Def+6 to unit for 1 turn. If unit initiates combat or is within 2 spaces of an ally, inflicts penalty on foe's Atk/Spd/Def during combat = 5 + any current penalty on each of those stats (example: if foe has -7 penalty to Atk, inflicts Atk-12, for a net penalty of Atk-19 during combat; calculates each stat penalty independently) and reduces damage from foe's first attack during combat by 40%.",400,Yes
