Sprite,Weapon,Might,Range,Description,SP,Exclusive
,Absorb,4,2,Restores HP = 50% of damage dealt.,150,No
,Absorb+,7,2,"Restores HP = 50% of damage dealt.After combat, if unit attacked, restores 7 HP to allies within 2 spaces of unit.",300,No
,Aid,8,2,"At start of turn, restores 5 HP to ally that has been dealt the most damage. (Excludes unit.)",200,No
,Aid+,12,2,"At start of turn, restores 10 HP to ally that has been dealt the most damage. (Excludes unit.)",300,No
,Arcane Charmer,14,2,"Accelerates Special trigger (cooldown count-1; max cooldown count cannot be reduced below 1). Restores 7 HP to allies within 3 spaces of unit after their combat. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit during combat, unit makes a guaranteed follow-up attack, grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack), and deals +7 damage during combat (except when dealing damage with area-of-effect Specials).",300,No
File:Weapon Asclepius.png,Asclepius,14,2,"Grants Res+3. Calculates damage from staff like other weapons. At start of turn, if any foe's Res < unit's Res and that foe is adjacent to another foe, inflicts Atk/Res-6 and status preventing counterattacks on that foe through its next action. At start of combat, if unit's HP ≥ 25%, grants Atk/Res+6 to unit and deals damage = total penalties on foe during combat. (If the ""calculates damage from staff like other weapons"" effect is neutralized, damage from staff is calculated after combat damage is added.)",400,Yes
,Assault,10,2,,50,No
,Baton of Dusk,14,2,"Grants Spd+3.Enables【Canto (Rem.; Min １)】.Calculates damage from staff like other weapons.At start of turn, if unit's HP ≥ 25%, grants Atk/Spd+6,【Treachery】, and ""grants Special cooldown charge +1 per attack during combat (only highest value applied; does not stack)"" to unit and allies within 2 spaces of unit for 1 turn.At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = number of foes within 3 rows or 3 columns centered on unit × 3, + 5 (max 14), deals damage = 20% of unit's Spd (excluding area-of-effect Specials; if the ""calculates damage from staff like other weapons"" effect is neutralized, damage from staff is calculated after combat damage is added), and neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.【Canto (Rem.; Min １)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn (min. １; if unit used a movement skill that warped them, unit can move １ space(s)).(Once per turn. Only highest value applied. Does not stack.)【Treachery】Unit deals additional damage = total bonuses on unit for 1 turn.",400,Yes
,Bouquet Baton,8,2,"For allies within 3 rows or 3 columns centered on unit, grants Atk/Spd+5 and neutralizes penalties on ally during combat.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, neutralizes penalties on unit, and unit deals +X damage during combat (max 15; excluding area-of-effect Specials; X = number of allies within 3 rows or 3 columns centered on unit × 5; calculates damage from staff after combat damage is added).",200,No
,Bouquet Baton+,12,2,"For allies within 3 rows or 3 columns centered on unit, grants Atk/Spd+5 and neutralizes penalties on ally during combat.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, neutralizes penalties on unit, and unit deals +X damage during combat (max 15; excluding area-of-effect Specials; X = number of allies within 3 rows or 3 columns centered on unit × 5; calculates damage from staff after combat damage is added).",300,No
,Caduceus Staff,14,2,Calculates damage from staff like other weapons. Reduces damage from foes' attacks during combat to allies within 2 spaces by 30%.,400,Yes
,Candlelight,7,2,"After combat, if unit attacked, inflicts status on foe preventing counterattacks through its next action.",200,No
,Candlelight+,11,2,"After combat, if unit attacked, inflicts status on target and foes within 2 spaces of target preventing counterattacks through their next actions.",300,No
,Crimean Scepter,14,2,"Calculates damage from staff like other weapons. Accelerates Special trigger (cooldown count-1; max cooldown count cannot be reduced below 1). At start of turn, if unit is within 2 spaces of an ally, grants Atk/Spd+6 and the following status to unit and allies within 2 spaces for 1 turn: ""If unit initiates combat, unit makes a guaranteed follow-up attack."" If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd+6 to unit and grants bonus to unit's Atk/Spd = highest respective Atk/Spd bonuses among unit and allies within 2 spaces × 1.5 (calculates each stat bonus independently).",400,Yes
,Diplomacy Staff,14,2,"Calculates damage from staff like other weapons. At start of turn, grants Atk/Def/Res+6 and the following status to unit's support partner (if any): ""If unit initiates combat, unit makes a guaranteed follow-up attack."" At start of turn, if at least one ally has been defeated, grants Special cooldown count-2 and the following status to unit's support partner (if any): ""Foe cannot make a follow-up attack.""",400,Yes
,Doting Staff,14,2,"Foe cannot counterattack. If unit initiates combat, grants Atk/Spd+4 to unit during combat. After combat, if unit attacked, inflicts status on target and foes within 2 spaces of target preventing counterattacks through their next actions.",400,Yes
,Dusk-Dawn Staff,14,2,"Foe cannot counterattack. Accelerates Special trigger (cooldown count-1; max cooldown count value cannot be reduced below 1). If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd+6 to unit, neutralizes effects that prevent unit's follow-up attacks, grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack), and after combat, if unit attacked, inflicts status on target and foes within 2 spaces of target preventing counterattacks through their next actions.",400,Yes
,Elena's Staff,14,2,"Grants Res+3. Foe cannot counterattack. At start of turn, inflicts Atk/Spd-7 on nearest foes within 4 spaces through their next actions. After combat, if unit attacked, inflicts Atk/Spd-7 on target and foes within 2 spaces of target through their next actions.",400,Yes
,Elise's Staff,14,2,"Grants Spd+3. Calculates damage from staff like other weapons. After combat, if unit attacked, inflicts 【Gravity】on target and foes within 1 space of target.【Gravity】Restricts target's movement to 1 space through its next action.",400,Yes
,Exalt's War Staff,14,2,"Foe cannot counterattack. Accelerates Special trigger (cooldown count-1; max cooldown count value cannot be reduced below 1). If unit's HP ≤ 60% or if unit has entered combat or used an Assist skill during the current turn, allies can move to a space within 2 spaces of unit. Grants Atk/Spd/Def/Res+4 to allies within 3 spaces of unit during their combat and restores 7 HP to those allies after their combat. If unit is within 3 spaces of an ally, grants Atk/Res+6 to unit, unit makes a guaranteed follow-up attack, and deals damage = 20% of unit's Res during combat (excluding area-of-effect Specials).",400,Yes
,Fear,5,2,"After combat, if unit attacked, inflicts Atk-6 on foe through its next action.",150,No
,Fear+,12,2,"After combat, if unit attacked, inflicts Atk-7 on target and foes within 2 spaces of target through their next actions.",300,No
,Flash,7,2,"After combat, if unit attacked, inflicts status on foe preventing counterattacks through its next action.",200,No
,Flash+,11,2,"After combat, if unit attacked, inflicts status on target and foes within 2 spaces of target preventing counterattacks through their next actions.",300,No
,Gjallarbrú,14,2,"Calculates damage from staff like other weapons. At start of turn, if foe's HP ≤ unit's HP-3 and foe is in cardinal directions, inflicts【Isolation】on foe.【Isolation】Target cannot use or be the target of Assist skills through its next action. (Target can neither use nor be the target of skills like Dance and Sing, skills that neutralize penalties, like Restore and Harsh Command+, etc.)",400,Yes
,Grandscratcher,8,2,"At the start of turn 1, grants Special cooldown count-1 to ally with the highest Atk. (If that ally does not have a Special skill, this skill has no effect.)",200,No
,Grandscratcher+,12,2,"At the start of turn 1, grants Special cooldown count-1 to ally with the highest Atk. (If that ally does not have a Special skill, this skill has no effect.)",300,No
,Gravity,6,2,"After combat, if unit attacked, inflicts status on foe restricting movement to 1 space through its next action.",150,No
,Gravity+,10,2,"After combat, if unit attacked, inflicts status on target and foes within 1 space of target restricting movement to 1 space through their next actions.",300,No
,Hliðskjálf,14,2,"Foe cannot counterattack. After combat, if unit attacked, inflicts Atk/Spd/Def/Res-4 on target and foes within 2 spaces of target through their next actions, and grants Atk/Spd/Def/Res+4 to unit and allies within 2 spaces for 1 turn.",400,Yes
,Incurable,8,2,"Foe cannot recover HP during or after combat. After combat, if unit attacked, deals 7 damage to and inflicts【Deep Wounds】on target.【Deep Wounds】Unit's HP cannot be healed through its next action.",200,No
