Sprite,Weapon,Might,Range,Description,SP,Exclusive
File:Weapon Allied Axe.png,Allied Axe,10,1,"Grants Atk/Def+4 to allies within 2 spaces during combat. If unit is within 2 spaces of an ally, grants Atk/Def+4 to unit during combat.",200,No
File:Weapon Allied Axe.png,Allied Axe+,14,1,"Grants Atk/Def+4 to allies within 2 spaces during combat. If unit is within 2 spaces of an ally, grants Atk/Def+4 to unit during combat.",300,No
,Anchor Axe,10,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 to unit, grants Atk/Def+X × 5 to unit (X = the number of allies with Atk ≥ 55 within 3 rows or 3 columns centered on unit + the number of allies with Def ≥ 40 in the same area; max 3), and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack).",200,No
,Anchor Axe+,14,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 to unit, grants Atk/Def+X × 5 to unit (X = the number of allies with Atk ≥ 55 within 3 rows or 3 columns centered on unit + the number of allies with Def ≥ 40 in the same area; max 3), and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack).",300,No
,Arcadian Axes,11,1,"Accelerates Special trigger (cooldown count-1). Unit attacks twice (even if foe initiates combat, unit attacks twice). Unit can counterattack regardless of foe's range. At start of combat, if unit's HP ≥ 25%, inflicts Atk/Def/Res-X on foe during combat (X = 20% of unit's Res at start of combat, + 5), and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+5, inflicts Special cooldown count+1 on foe before foe's first attack during combat (cannot exceed foe's maximum Special cooldown).",400,Yes
,Arcane Downfall,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit during combat, foe cannot make a follow-up attack, grants Special cooldown charge +1 per attack (only highest value applied; does not stack), and when unit deals damage to foe during combat, restores 7 HP to unit (triggers even if 0 damage is dealt).",300,No
,Arcane Giant Axe,16,1,"Accelerates Special trigger (cooldown count-1).At start of player phase or enemy phase, neutralizes【Panic】and penalties on unit's Atk/Def that take effect on unit at that time.If foe initiates combat or if unit's HP ≥ 25% at start of combat, grants bonus to unit's Atk/Spd/Def/Res = 25% of foe's Atk at start of combat - 4 (max 14; min 5), deals damage = 15% of unit's Atk (including when dealing damage with an area-of-effect Special), reduces damage from foe's attacks by 15% of unit's Atk (including from area-of-effect Specials; excluding Røkkr area-of-effect Specials), and grants Special cooldown count-1 to unit before unit's first attack during combat.【Panic】Converts bonuses on target into penalties through its next action.",300,No
,Arcane Þrima,16,1,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit's HP ≥ 25%, inflicts Atk/Def-6 on closest foes and foes within 2 spaces of those foes through their next actions. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, inflicts Atk/Spd/Def/Res-X on foe (X = highest penalty on each stat between target and foes within 2 spaces of target; calculates each stat penalty independently), neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat, and also, if unit's Spd > foe's Spd, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.",300,No
,Ardent Service,10,1,"At start of turn, if unit is adjacent to an ally, grants Atk+4 to unit and adjacent allies for 1 turn.",200,No
,Ardent Service+,14,1,"At start of turn, if unit is adjacent to an ally, grants Atk+4 to unit and adjacent allies for 1 turn.",300,No
,Armads,16,1,"If unit's HP ≥ 80% and foe initiates combat, unit makes a guaranteed follow-up attack.",400,Yes
,Arthur's Axe,16,1,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Spd/Def/Res+3 during combat.",400,Yes
,Aurgelmir,16,1,"Grants Atk+3. If unit initiates combat or is not adjacent to an ally, grants Atk/Spd+6 to unit during combat, unit makes a guaranteed follow-up attack, and also reduces damage from foe's first attack by 40% and unit's next attack deals damage equal to total damage reduced (by any source, including other skills). Resets at end of combat.",400,Yes
,Auto-Lofnheiðr,16,1,"Grants Atk+3. Enables【Canto (３)】during turns 1 through 4. If unit initiates combat or is within 2 spaces of an ally, grants Atk+6 to unit during combat, inflicts Atk-6 on foe during combat, and unit makes a guaranteed follow-up attack.【Canto (３)】After an attack, Assist skill, or structure destruction, unit can move ３ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400,Yes
,Axe Breidablik,16,1,Grants Atk/Spd/Def/Res+4 to allies within 2 spaces during combat. Inflicts Atk/Spd/Def/Res-4 on foes within 2 spaces during combat.,400,Yes
