Sprite,Weapon,Might,Range,Description,SP,Exclusive
,Abyssal Blade,14,2,"Accelerates Special trigger (cooldown count-1).If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, neutralizes effects that prevent unit's follow-up attacks, deals damage = 20% of unit's Spd (including when dealing damage with a Special triggered before combat), and reduces damage from foe's first attack by 30% during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Arcane Sly Knife,14,2,"Accelerates Special trigger (cooldown count-1).At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = 25% of foe's Atk at start of combat - 4 (min 5; max 14), neutralizes foe's bonuses to Spd/Def, deals damage = 15% of unit's Atk (including when dealing damage with an area-of-effect Special), reduces damage from foe's first attack by 7 (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and grants Special cooldown count-1 to unit before unit's first attack during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Arcane Tempest,14,2,"Accelerates Special trigger (cooldown count-1).At start of turn, if Special cooldown count is at its maximum value, grants Special cooldown count-1.At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+X to unit (X = 25% of foe's Atk at start of combat, - 4; min 5, max 14), reduces damage from foe's first attack by 30% (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and also, if unit's Spd > foe's Spd, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Arcane Void,14,2,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, inflicts Atk/Spd/Def/Res-X on foe (X = highest penalty on each stat between target and foes within 2 spaces of target; calculates each stat penalty independently), unit makes a guaranteed follow-up attack, and grants Special cooldown charge +1 to unit per attack (only highest value applied; does not stack) during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Armorpin Dagger,8,2,"Effective against armored foes. Disables unit's and foe's skills that change attack priority.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200,No
,Armorpin Dagger+,12,2,"Effective against armored foes. Disables unit's and foe's skills that change attack priority.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300,No
,Asura Blades,8,2,"Grants Spd+5. Unit attacks twice (even if foe initiates combat). Neutralizes penalties on unit during combat. If unit's Spd > foe's Spd, grants Special cooldown charge +1 to unit per attack during combat. (Only highest value applied. Does not stack.)Effect: 【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Athame,14,2,"Grants Res+3. At start of combat, if foe’s HP < 100%, grants Atk/Spd+5 during combat, and if foe initiates combat, unit can counterattack before foe’s first attack.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400,Yes
,Barb Shuriken,8,2,"Accelerates Special trigger (cooldown count-1).After combat, if unit attacked, inflicts Def/Res-5 on target and foes within 2 spaces of target through their next actions.",200,No
,Barb Shuriken+,12,2,"Accelerates Special trigger (cooldown count-1). After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",300,No
