Sprite,Weapon,Might,Range,Description,SP,Exclusive
,Ancient Betrayal,16,1,"Grants Atk+3. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.At start of player phase or enemy phase, if unit's HP ≥ 25%, grants Atk/Res+6, 【En Garde】, and ""neutralizes foe's bonuses during combat"" to unit and allies within 2 spaces of unit for 1 turn.At start of combat, if unit's HP ≥ 25%, inflicts penalty on foe's Atk/Def/Res = 20% of unit's Res at start of combat + 5, unit deals +X damage (excluding area-of-effect Specials), and reduces damage from foe's attacks by X (excluding area-of-effect Specials; X = number of staff and dragon allies on the map, excluding unit, × 5 + 10; max 20), and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+5, inflicts Special cooldown count+1 on foe before foe's first attack during combat (cannot exceed foe's maximum Special cooldown).【En Garde】Neutralizes damage outside of combat (from skills like Poison Strike, structures like Bolt Tower, etc.) except damage dealt by area-of-effect Specials.",400,Yes
,Ancient Majesty,16,1,"Accelerates Special trigger (cooldown count-1).Effective against dragon foes. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.At start of player phase or enemy phase, if unit's HP ≥ 25%, inflicts Atk/Res-7,【Frozen】, and【Guard】on closest foes and any foes within 2 spaces of those foes through their next actions.At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = number of allies within 3 rows or 3 columns centered on unit × 3, + 5 (max 14), deals damage = 15% of foe's Atk (excluding area-of-effect Specials), and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials).【Frozen】Reduces inflicted unit's follow-up ability and increases foe's follow-up ability through unit's next action:Increases Spd difference necessary for unit to make a follow-up attack by X and decreases Spd difference necessary for foe to make a follow-up attack by X during combat (if foe's Def > unit's Def, X = 10 + difference between Def stats × 2; otherwise, X = 10). (For example, if Spd difference necessary increases by 10, Spd must be ≥ 15 more than foe's Spd to make a follow-up attack; stacks with similar skills.)【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",400,Yes
,Ancient Voice,16,1,"Accelerates Special trigger (cooldown count-1).Effective against dragon foes. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.At start of turn, if unit is within 2 spaces of an ally, grants Spd/Def+6,【Bulwark】, and ""neutralizes penalties on unit during combat"" to unit and allies within 2 spaces of unit for 1 turn.If unit is within 3 spaces of an ally, calculates damage using 150% of unit's Def instead of the value of unit's Atk when Special triggers (excluding area-of-effect Specials).If unit is within 3 spaces of an ally, grants bonus to unit's Atk/Spd/Def/Res = number of allies within 3 spaces of unit × 3, + 5 (max 14), deals damage = 20% of unit's Def (excluding area-of-effect Specials), and reduces damage from foe's first attack by 20% of unit's Def during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and also, if unit's Def ≥ foe's Def+5, disables unit's and foe's skills that change attack priority during combat.【Bulwark】Foes with Range = 1 cannot move through spaces adjacent to unit (does not affect foes with Pass skills).Foes with Range = 2 cannot move through spaces within 2 spaces of unit (does not affect foes with Pass skills).",400,Yes
,Arcane Fell Arts,16,1,"Accelerates Special trigger (cooldown count-1).If foe's Range = 2, calculates damage using the lower of foe's Def or Res.If foe initiates combat or if unit's HP ≥ 25% at start of combat, grants bonus to unit's Atk/Spd/Def/Res = 25% of foe's Atk at start of combat - 4 (max 14; min 5), deals damage = 15% of unit's Atk (including when dealing damage with an area-of-effect Special), reduces damage from foe's attacks by 15% of unit's Atk (including from area-of-effect Specials; excluding Røkkr area-of-effect Specials), grants Special cooldown charge +1 to unit per attack (only highest value applied; does not stack), and grants Special cooldown count-1 to unit before unit's first attack during combat.",300,No
,Arcane Fellstone,16,1,"Accelerates Special trigger (cooldown count-1).At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = 25% of foe's Atk at start of combat - 4 (max 14; min 5), reduces damage from foe's first attack by 40% (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack), and also, if unit's Spd > foe's Spd, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",300,No
,Arcane Grima,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit during combat, unit makes a guaranteed follow-up attack, deals damage = 15% of unit's Atk (including when dealing damage with a Special triggered before combat), and restores 7 HP to unit after combat. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",300,No
,Astral Breath,16,1,"Grants Spd+3. Unit can move to a space adjacent to support partner. If unit is within 3 spaces of support partner, grants Atk/Spd/Def/Res+5 to unit during combat. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400,Yes
,Aurora Breath,16,1,"Grants Atk+3. If unit initiates combat, grants Atk+6 to unit during combat and unit makes a guaranteed follow-up attack. If foe initiates combat, grants Def/Res+6 during combat and foe cannot make a follow-up attack. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400,Yes
,Awoken Breath,16,1,"Accelerates Special trigger (cooldown count-1). Effective against dragons. If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit during combat, grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack), neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat, and also, if foe's attack can trigger their Special and unit's Res ≥ foe's Res+5, inflicts Special cooldown count+1 on foe before foe's first attack during combat (cannot exceed foe's maximum Special cooldown). If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400,Yes
,Blackfire Breath,10,1,"If unit is not adjacent to an ally, inflicts Atk/Res-5 on foe during combat and neutralizes foe's bonuses to Atk/Res (from skills like Fortify, Rally, etc.) during combat. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",200,No
,Blackfire Breath+,14,1,"If unit is not adjacent to an ally, inflicts Atk/Res-5 on foe during combat and neutralizes foe's bonuses to Atk/Res (from skills like Fortify, Rally, etc.) during combat. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",300,No
,Breath of Blight,16,1,"Neutralizes ""effective against dragons"" bonuses. At the start of turn 4, deals 10 damage to foes within 3 spaces, and restores HP to unit = number of foes within 3 spaces × 5. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400,Yes
,Breath of Flame,16,1,"Accelerates Special trigger (cooldown count-1). At start of turn, if Special cooldown count is at its maximum value, grants Special cooldown count-1. If unit initiates combat or is within 2 spaces of an ally, grants Atk+6 to unit and inflicts Atk-6 on foe during combat, unit makes a guaranteed follow-up attack, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50%. (Example: a foe with a ""reduce damage by 45%"" skill would reduce damage by 23% instead.) If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400,Yes
,Breath of Fog,16,1,"Effective against dragon foes. At start of odd-numbered turns, restores 10 HP. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400,Yes
